timestamp,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6
15.682,0.047253,-0.069202,0.125534,0.010649,0.222263,0.097369,-0.045822,-2.7962,-0.057907,-1.148594,-2.946259,-1.865643
15.701,0.033442,-0.134031,0.133973,0.00758,0.157815,0.048267,-1.08313,-3.168827,0.862576,0.211994,-2.955322,-2.467888
15.722,0.004288,-0.201547,0.154304,0.010649,0.10526,-0.00352,-1.713573,-3.195011,1.089174,0.169697,-2.850582,-2.87677
15.742,-0.032922,-0.261391,0.165045,0.006046,0.041965,-0.052623,-2.070084,-3.03891,-0.150562,-0.541313,-3.029846,-1.854565
15.762,-0.083559,-0.323919,0.153153,-0.02004,-0.012508,-0.066433,-2.512199,-2.733761,-0.970337,-1.552437,-2.871731,0.219044
15.782,-0.136881,-0.373406,0.120546,-0.056483,-0.076571,-0.046869,-2.912018,-2.421562,-1.855572,-2.068069,-3.159763,1.413458
15.802,-0.200177,-0.422123,0.078349,-0.103667,-0.13373,-0.014262,-3.163792,-2.194965,-2.476952,-2.222157,-2.10231,1.968369
15.822,-0.25043,-0.451279,0.016588,-0.150467,-0.154445,0.034073,-1.803204,-1.029755,-3.062073,-2.383293,-0.129414,2.474937
15.842,-0.26002,-0.458567,-0.052846,-0.208009,-0.138717,0.085093,0.276447,0.052872,-3.127537,-2.864681,1.28455,2.77203
15.862,-0.237387,-0.450511,-0.112689,-0.258646,-0.104575,0.134579,1.479927,0.691372,-3.079193,-2.464867,2.0439,1.785076
15.882,-0.204013,-0.425576,-0.166779,-0.292787,-0.051637,0.147238,2.014694,1.443672,-1.913986,-0.535271,2.589746,-0.211994
15.902,-0.156062,-0.390284,-0.180973,-0.285116,0.002453,0.12614,2.474937,2.046921,0.047836,0.846462,2.971436,-1.388283
15.922,-0.118085,-0.348086,-0.164093,-0.258263,0.069202,0.089313,1.514168,2.098284,1.300663,1.687387,3.312841,-1.991531
15.942,-0.110796,-0.304739,-0.131104,-0.211078,0.130196,0.047116,-0.328815,2.519249,1.985489,2.590754,3.196018,-2.339985
15.963,-0.132277,-0.246046,-0.083152,-0.156989,0.185434,-0.008891,-1.467842,2.893888,2.547447,3.061066,1.895857,-2.76498
15.983,-0.169104,-0.182366,-0.031747,-0.099447,0.212672,-0.05339,-1.949234,3.125521,2.798214,2.434652,1.136507,-1.681347
16.003,-0.212837,-0.11792,0.028862,-0.072978,0.236072,-0.065666,-2.450768,3.605906,2.781094,0.775967,0.914948,0.307667
16.023001,-0.256184,-0.0458,0.081802,-0.081034,0.269063,-0.046869,-1.495033,3.33399,2.885832,-1.065002,2.001602,1.430578
16.042999,-0.260404,0.013658,0.143179,-0.101749,0.304355,-0.010426,0.335865,3.083223,2.929136,-1.156651,1.605814,1.952255
16.063,-0.238922,0.074653,0.202639,-0.107888,0.31548,0.031004,1.460793,2.763973,3.208103,0.077042,-0.14452,2.435659
16.083,-0.20056,0.116467,0.272457,-0.092926,0.318933,0.085861,2.037857,1.615885,3.198032,0.953217,0.396294,2.761959
16.103001,-0.157596,0.130277,0.326546,-0.058402,0.335812,0.141101,2.48098,-0.113297,1.886793,2.165758,1.026733,2.895903
16.122999,-0.100822,0.112247,0.348411,-0.019656,0.3431,0.207849,2.813322,-1.416481,0.379173,1.474892,-0.091141,3.282627
16.143,-0.044815,0.074653,0.338438,-0.010066,0.32929,0.259637,2.988556,-2.01268,-1.073059,-0.532249,-0.869625,2.01268
16.163,0.020783,0.028621,0.3089,-0.033466,0.30704,0.274981,3.035889,-2.578667,-1.934128,-1.345982,-1.541359,-0.305653
16.184,0.067968,-0.029306,0.260949,-0.066457,0.268295,0.2535,1.939163,-2.838497,-2.582695,-1.941177,-2.08519,-1.498055
16.204,0.079476,-0.089149,0.21338,-0.10405,0.223413,0.221275,-0.320759,-2.756924,-2.185902,-1.507118,-2.578667,-1.914993
16.224001,0.057994,-0.140936,0.191898,-0.114409,0.16357,0.172941,-1.479927,-2.736782,-0.065964,0.036758,-3.034882,-2.541405
16.243999,0.020783,-0.203466,0.192282,-0.09446,0.106028,0.12192,-1.955276,-3.065094,0.075027,1.546394,-2.862667,-2.808285
16.264,-0.022948,-0.261007,0.185377,-0.072595,0.045034,0.059775,-2.492058,-2.919067,-0.565483,0.682308,-2.933167,-3.053009
16.284,-0.078572,-0.319699,0.165429,-0.070676,-0.019414,0.01144,-2.791164,-2.620964,-1.540352,-0.541313,-2.984528,-1.956284
16.304001,-0.141101,-0.368802,0.124382,-0.091008,-0.07849,-0.00352,-3.039917,-2.46386,-2.274525,-1.460793,-3.123505,0.238178
16.323999,-0.199794,-0.417904,0.071444,-0.125534,-0.134113,0.014892,-3.117462,-2.183887,-2.785122,-1.578621,-2.083176,1.414465
16.344,-0.250814,-0.447826,0.013519,-0.162743,-0.153678,0.052104,-1.836437,-1.085144,-3.339024,-2.033829,-0.038773,1.981461
16.364,-0.260404,-0.455881,-0.053997,-0.212229,-0.136799,0.08471,0.302631,-0.034744,-3.113434,-2.547447,1.302677,1.175783
16.385,-0.237771,-0.448593,-0.113841,-0.262866,-0.102657,0.085861,1.472878,0.708492,-3.08725,-2.288624,2.034836,-0.63699
16.405001,-0.204397,-0.424043,-0.166779,-0.289718,-0.048951,0.062077,2.025772,1.373175,-1.907944,-0.546349,2.62298,-1.603798
16.424999,-0.157596,-0.386831,-0.182124,-0.282814,0.003987,0.029469,2.390341,1.997574,0.162647,0.795101,2.940216,-1.997574
16.445,-0.120002,-0.348853,-0.167162,-0.257879,0.069202,-0.017714,1.528267,2.067064,1.23621,1.788097,3.368231,-2.479973
16.465,-0.112714,-0.299752,-0.135323,-0.211462,0.129812,-0.067583,-0.37212,2.526299,1.856581,2.501122,3.043945,-2.812313
16.485001,-0.133812,-0.246046,-0.087371,-0.156605,0.195793,-0.116686,-1.477913,2.918058,2.399405,3.202061,3.147676,-1.65617
16.504999,-0.170255,-0.179682,-0.037118,-0.093693,0.257171,-0.128194,-2.007645,3.344061,2.852598,2.651178,2.608881,0.273426
16.525,-0.213604,-0.114468,0.022726,-0.066457,0.306273,-0.104795,-2.372211,3.490089,2.977478,0.602745,2.516228,1.538338
16.545,-0.256568,-0.045417,0.0795,-0.076431,0.367267,-0.07257,-1.481941,3.215153,3.105379,-1.122406,3.153719,2.078142
16.565001,-0.259253,0.012508,0.143946,-0.09868,0.418287,-0.026538,0.393272,2.994598,3.043945,-1.153629,2.312796,2.465874
16.584999,-0.238538,0.072735,0.211846,-0.105585,0.439771,0.022181,1.424536,2.795193,3.366217,0.241199,-0.043808,2.794186
16.606001,-0.199794,0.113782,0.267086,-0.090241,0.42596,0.082408,2.116411,1.4195,2.545433,0.979401,-0.858547,2.954315
16.625999,-0.156446,0.123372,0.295089,-0.060703,0.40793,0.13995,2.518242,-0.416435,0.191853,1.91197,-0.422478,3.158754
16.646,-0.100822,0.104192,0.280896,-0.008915,0.397189,0.205931,2.786129,-1.292606,-1.438637,2.665277,-0.763882,3.23328
16.666,-0.045965,0.069282,0.242534,0.031364,0.370336,0.260788,2.953308,-1.90593,-2.135548,1.581644,-1.587685,1.950241
16.686001,0.004671,0.026318,0.198036,0.046709,0.331592,0.276516,1.758892,-2.105331,-2.612907,-0.059921,-2.495079,-0.10524
16.705999,0.03421,-0.019715,0.147399,0.031364,0.277502,0.256184,1.528267,-2.543419,-1.92305,-1.321812,-2.762966,-1.425545
16.726,0.047253,-0.075723,0.129369,-0.004695,0.224564,0.223577,-0.019638,-2.712612,-0.200916,-1.781048,-2.961365,-1.963333
16.746,0.033442,-0.134415,0.128219,-0.034234,0.15935,0.175626,-1.009613,-3.28867,-0.051865,-1.310734,-2.953308,-2.515221
16.766001,0.004671,-0.203849,0.121314,-0.041138,0.106794,0.123455,-1.716595,-3.389381,-0.878693,0.281483,-2.810299,-2.943237
16.785999,-0.036759,-0.265994,0.097913,-0.043439,0.049253,0.059775,-2.147633,-3.062073,-1.244267,-0.350971,-2.608879,-3.16782
16.806,-0.083559,-0.325454,0.061854,-0.056867,-0.012125,0.010289,-2.544426,-2.561546,-1.990524,-0.717556,-3.040924,-1.89888
16.827,-0.143018,-0.372638,0.017354,-0.078732,-0.072736,-0.004671,-2.857632,-2.403435,-2.516228,-1.157658,-3.377296,0.310688
16.847,-0.20056,-0.419822,-0.044791,-0.11134,-0.132579,0.014509,-3.148685,-2.135548,-3.061066,-1.785076,-2.201008,1.339941
16.867001,-0.250814,-0.448593,-0.108854,-0.154687,-0.154828,0.051719,-1.735729,-1.01767,-3.421608,-2.068069,-0.259327,2.06102
16.886999,-0.26002,-0.456649,-0.180205,-0.193816,-0.138333,0.087011,0.264362,0.031723,-3.282627,-1.900894,1.263401,0.990479
16.907,-0.23969,-0.448977,-0.23276,-0.219134,-0.104192,0.087395,1.39533,0.742733,-2.223164,-0.412407,2.190937,-0.603752
16.927,-0.206698,-0.422507,-0.248488,-0.211846,-0.052403,0.063612,1.968369,1.577616,0.146534,0.670223,2.541405,-1.422523
16.947001,-0.159131,-0.389134,-0.233911,-0.184993,0.003221,0.03062,2.47393,1.718609,1.244267,1.639048,3.189976,-2.041885
16.966999,-0.120386,-0.350388,-0.198236,-0.143946,0.070736,-0.01733,1.522224,2.159716,1.961319,2.460838,3.144655,-2.530327
16.987,-0.113097,-0.298601,-0.154503,-0.084486,0.135566,-0.0672,-0.332844,2.614923,2.437675,2.994598,3.054016,-2.831448
17.007,-0.137265,-0.243745,-0.096578,-0.030014,0.193492,-0.115919,-1.449715,2.987549,2.957336,2.76498,2.924101,-1.667248
17.028,-0.170639,-0.175462,-0.039804,0.001059,0.250649,-0.12666,-1.924057,3.392401,3.073153,0.408379,2.660242,0.289539
17.048,-0.21859,-0.114468,0.025027,-0.007381,0.306273,-0.104795,-2.40847,3.161776,3.043945,-1.015656,3.083223,1.509132
17.068001,-0.255801,-0.050021,0.089858,-0.042289,0.36228,-0.073338,-1.425545,3.167818,3.03891,-2.049942,2.121447,1.943192
17.087999,-0.259253,0.007521,0.148166,-0.083335,0.37916,-0.027688,0.407372,2.982513,2.980499,-1.724651,-0.145527,2.453789
17.108,-0.238155,0.068131,0.216449,-0.098297,0.363431,0.021798,1.467842,2.874754,3.238316,-0.10524,-1.10025,2.803249
17.128,-0.200944,0.112247,0.267086,-0.086021,0.34732,0.080874,2.085192,1.841475,2.1859,1.18384,-0.385216,2.999634
17.148001,-0.158364,0.127208,0.292788,-0.053798,0.352306,0.144937,2.377249,-0.180775,0.050858,2.156694,0.451683,3.036896
17.167999,-0.103123,0.106877,0.280129,0.000675,0.357293,0.19519,2.83145,-1.383247,-1.181828,2.854612,-0.090134,2.099291
17.188,-0.047116,0.073118,0.246755,0.043256,0.343867,0.212453,2.995605,-1.892838,-1.813274,1.711559,-1.053925,-0.333851
17.208,0.016947,0.028236,0.204174,0.055915,0.31548,0.19519,3.094301,-2.324879,-2.297688,-0.16869,-1.788097,-1.417488
17.228001,0.064131,-0.021633,0.145097,0.039036,0.270598,0.158746,1.955276,-2.785122,-2.965393,-1.360081,-2.291645,-1.945206
17.249001,0.077558,-0.083011,0.09331,0.014102,0.219577,0.115782,-0.233143,-2.967407,-2.221149,-0.815243,-2.657223,-2.421562
17.268999,0.054158,-0.137867,0.067608,0.011033,0.165487,0.058625,-1.393318,-2.839504,-0.264362,0.164661,-2.971436,-2.823391
17.289,0.020016,-0.202314,0.067224,0.031364,0.101041,0.002618,-1.885788,-3.084229,-0.068985,1.621927,-2.9664,-2.924103
17.309,-0.028319,-0.262158,0.059936,0.055148,0.047335,-0.050705,-2.366169,-2.995605,-0.522179,0.8092,-2.805264,-1.929092
17.329,-0.078572,-0.322768,0.042673,0.06282,-0.018646,-0.065666,-2.742825,-2.694485,-1.235203,-0.303638,-3.084229,0.216022
17.349001,-0.140717,-0.371871,0.00623,0.042489,-0.07849,-0.045718,-2.980499,-2.496086,-2.193958,-1.21204,-3.144657,1.434607
17.368999,-0.199794,-0.420589,-0.045941,0.012183,-0.13373,-0.009275,-3.12653,-2.206043,-2.589745,-1.655163,-2.06102,1.917006
17.389,-0.252349,-0.452813,-0.104634,-0.030014,-0.154061,0.034073,-1.826366,-1.004578,-3.267521,-2.054977,-0.27544,2.525291
17.409,-0.262322,-0.457416,-0.166011,-0.07528,-0.139868,0.078572,0.257313,-0.000504,-2.324879,-2.58773,1.125429,1.692425
17.429001,-0.242374,-0.446675,-0.186726,-0.130904,-0.11033,0.086244,1.371161,0.832363,-0.21703,-2.56356,1.781048,-0.455711
17.450001,-0.208616,-0.423658,-0.174835,-0.15814,-0.061227,0.064762,2.032822,1.355047,0.984436,-0.565483,2.750881,-1.421516
17.469999,-0.173324,-0.388749,-0.14453,-0.150467,0.007056,0.031388,1.132479,1.763927,2.01268,0.810207,3.410528,-2.181873
17.49,-0.17601,-0.351922,-0.09466,-0.125149,0.071503,-0.016563,-0.536278,2.124468,2.731747,1.565531,3.371252,-2.572624
17.51,-0.197875,-0.300902,-0.03942,-0.077198,0.140169,-0.056459,-1.45475,2.669306,2.890867,2.649164,3.088259,-1.683361
17.530001,-0.23547,-0.245663,0.02541,-0.031548,0.197711,-0.065666,-2.0298,3.047974,3.218174,2.224171,2.908995,0.409386
17.549999,-0.278434,-0.176613,0.091392,-0.000092,0.253718,-0.045718,-2.461845,3.432684,2.900938,0.451683,2.458824,1.452736
17.57,-0.318713,-0.113317,0.147783,-0.0116,0.306656,-0.00774,-1.30872,3.259464,3.015747,-1.063995,2.986542,1.94017
17.59,-0.322165,-0.047718,0.211078,-0.043056,0.372638,0.034456,0.373127,3.148684,3.093294,-1.834423,3.176882,2.526299
17.610001,-0.3003,0.008672,0.268237,-0.082569,0.424425,0.088546,1.357061,2.9664,3.011719,-1.850536,2.263447,2.649164
